,density,Run,AgentId,Posição,height,width,air_humidity,wind_force
4070,0.65,0,"(62, 51)","(62, 51)",100,100,0.95,0.1
4069,0.65,0,"(62, 50)","(62, 50)",100,100,0.95,0.1
4068,0.65,0,"(62, 48)","(62, 48)",100,100,0.95,0.1
4067,0.65,0,"(62, 46)","(62, 46)",100,100,0.95,0.1
4066,0.65,0,"(62, 45)","(62, 45)",100,100,0.95,0.1
4065,0.65,0,"(62, 44)","(62, 44)",100,100,0.95,0.1
4064,0.65,0,"(62, 42)","(62, 42)",100,100,0.95,0.1
4063,0.65,0,"(62, 41)","(62, 41)",100,100,0.95,0.1
4062,0.65,0,"(62, 38)","(62, 38)",100,100,0.95,0.1
4061,0.65,0,"(62, 36)","(62, 36)",100,100,0.95,0.1
4060,0.65,0,"(62, 35)","(62, 35)",100,100,0.95,0.1
4059,0.65,0,"(62, 33)","(62, 33)",100,100,0.95,0.1
4058,0.65,0,"(62, 31)","(62, 31)",100,100,0.95,0.1
4057,0.65,0,"(62, 30)","(62, 30)",100,100,0.95,0.1
4056,0.65,0,"(62, 27)","(62, 27)",100,100,0.95,0.1
4055,0.65,0,"(62, 26)","(62, 26)",100,100,0.95,0.1
4054,0.65,0,"(62, 25)","(62, 25)",100,100,0.95,0.1
4075,0.65,0,"(62, 57)","(62, 57)",100,100,0.95,0.1
4076,0.65,0,"(62, 58)","(62, 58)",100,100,0.95,0.1
4077,0.65,0,"(62, 59)","(62, 59)",100,100,0.95,0.1
4078,0.65,0,"(62, 60)","(62, 60)",100,100,0.95,0.1
4100,0.65,0,"(62, 99)","(62, 99)",100,100,0.95,0.1
4099,0.65,0,"(62, 97)","(62, 97)",100,100,0.95,0.1
4098,0.65,0,"(62, 96)","(62, 96)",100,100,0.95,0.1
4097,0.65,0,"(62, 91)","(62, 91)",100,100,0.95,0.1
4096,0.65,0,"(62, 90)","(62, 90)",100,100,0.95,0.1
4095,0.65,0,"(62, 87)","(62, 87)",100,100,0.95,0.1
4094,0.65,0,"(62, 86)","(62, 86)",100,100,0.95,0.1
4093,0.65,0,"(62, 84)","(62, 84)",100,100,0.95,0.1
4092,0.65,0,"(62, 83)","(62, 83)",100,100,0.95,0.1
4091,0.65,0,"(62, 81)","(62, 81)",100,100,0.95,0.1
4151,0.65,0,"(63, 77)","(63, 77)",100,100,0.95,0.1
4090,0.65,0,"(62, 79)","(62, 79)",100,100,0.95,0.1
4088,0.65,0,"(62, 77)","(62, 77)",100,100,0.95,0.1
4087,0.65,0,"(62, 76)","(62, 76)",100,100,0.95,0.1
4086,0.65,0,"(62, 74)","(62, 74)",100,100,0.95,0.1
4085,0.65,0,"(62, 71)","(62, 71)",100,100,0.95,0.1
4084,0.65,0,"(62, 70)","(62, 70)",100,100,0.95,0.1
4083,0.65,0,"(62, 68)","(62, 68)",100,100,0.95,0.1
4082,0.65,0,"(62, 66)","(62, 66)",100,100,0.95,0.1
4081,0.65,0,"(62, 64)","(62, 64)",100,100,0.95,0.1
4080,0.65,0,"(62, 62)","(62, 62)",100,100,0.95,0.1
4079,0.65,0,"(62, 61)","(62, 61)",100,100,0.95,0.1
4089,0.65,0,"(62, 78)","(62, 78)",100,100,0.95,0.1
4152,0.65,0,"(63, 79)","(63, 79)",100,100,0.95,0.1
4153,0.65,0,"(63, 80)","(63, 80)",100,100,0.95,0.1
4154,0.65,0,"(63, 81)","(63, 81)",100,100,0.95,0.1
4226,0.65,0,"(64, 90)","(64, 90)",100,100,0.95,0.1
4225,0.65,0,"(64, 89)","(64, 89)",100,100,0.95,0.1
4224,0.65,0,"(64, 88)","(64, 88)",100,100,0.95,0.1
4223,0.65,0,"(64, 87)","(64, 87)",100,100,0.95,0.1
4222,0.65,0,"(64, 86)","(64, 86)",100,100,0.95,0.1
4221,0.65,0,"(64, 84)","(64, 84)",100,100,0.95,0.1
4220,0.65,0,"(64, 83)","(64, 83)",100,100,0.95,0.1
4219,0.65,0,"(64, 82)","(64, 82)",100,100,0.95,0.1
4218,0.65,0,"(64, 81)","(64, 81)",100,100,0.95,0.1
4217,0.65,0,"(64, 80)","(64, 80)",100,100,0.95,0.1
4216,0.65,0,"(64, 77)","(64, 77)",100,100,0.95,0.1
4215,0.65,0,"(64, 75)","(64, 75)",100,100,0.95,0.1
4214,0.65,0,"(64, 74)","(64, 74)",100,100,0.95,0.1
4213,0.65,0,"(64, 73)","(64, 73)",100,100,0.95,0.1
4212,0.65,0,"(64, 72)","(64, 72)",100,100,0.95,0.1
4211,0.65,0,"(64, 71)","(64, 71)",100,100,0.95,0.1
4210,0.65,0,"(64, 70)","(64, 70)",100,100,0.95,0.1
4209,0.65,0,"(64, 69)","(64, 69)",100,100,0.95,0.1
4208,0.65,0,"(64, 68)","(64, 68)",100,100,0.95,0.1
4207,0.65,0,"(64, 67)","(64, 67)",100,100,0.95,0.1
4206,0.65,0,"(64, 66)","(64, 66)",100,100,0.95,0.1
4227,0.65,0,"(64, 91)","(64, 91)",100,100,0.95,0.1
4228,0.65,0,"(64, 92)","(64, 92)",100,100,0.95,0.1
4229,0.65,0,"(64, 93)","(64, 93)",100,100,0.95,0.1
4230,0.65,0,"(64, 94)","(64, 94)",100,100,0.95,0.1
4252,0.65,0,"(65, 26)","(65, 26)",100,100,0.95,0.1
4251,0.65,0,"(65, 25)","(65, 25)",100,100,0.95,0.1
4250,0.65,0,"(65, 24)","(65, 24)",100,100,0.95,0.1
4249,0.65,0,"(65, 23)","(65, 23)",100,100,0.95,0.1
4248,0.65,0,"(65, 22)","(65, 22)",100,100,0.95,0.1
4247,0.65,0,"(65, 21)","(65, 21)",100,100,0.95,0.1
4246,0.65,0,"(65, 19)","(65, 19)",100,100,0.95,0.1
4245,0.65,0,"(65, 18)","(65, 18)",100,100,0.95,0.1
4244,0.65,0,"(65, 16)","(65, 16)",100,100,0.95,0.1
4243,0.65,0,"(65, 15)","(65, 15)",100,100,0.95,0.1
4205,0.65,0,"(64, 65)","(64, 65)",100,100,0.95,0.1
4242,0.65,0,"(65, 14)","(65, 14)",100,100,0.95,0.1
4240,0.65,0,"(65, 11)","(65, 11)",100,100,0.95,0.1
4239,0.65,0,"(65, 8)","(65, 8)",100,100,0.95,0.1
4238,0.65,0,"(65, 7)","(65, 7)",100,100,0.95,0.1
4237,0.65,0,"(65, 5)","(65, 5)",100,100,0.95,0.1
4236,0.65,0,"(65, 3)","(65, 3)",100,100,0.95,0.1
4235,0.65,0,"(65, 1)","(65, 1)",100,100,0.95,0.1
4234,0.65,0,"(65, 0)","(65, 0)",100,100,0.95,0.1
4233,0.65,0,"(64, 98)","(64, 98)",100,100,0.95,0.1
4232,0.65,0,"(64, 97)","(64, 97)",100,100,0.95,0.1
4231,0.65,0,"(64, 95)","(64, 95)",100,100,0.95,0.1
4241,0.65,0,"(65, 13)","(65, 13)",100,100,0.95,0.1
4455,0.65,0,"(68, 50)","(68, 50)",100,100,0.95,0.1
4204,0.65,0,"(64, 64)","(64, 64)",100,100,0.95,0.1
4202,0.65,0,"(64, 61)","(64, 61)",100,100,0.95,0.1
4175,0.65,0,"(64, 14)","(64, 14)",100,100,0.95,0.1
4174,0.65,0,"(64, 13)","(64, 13)",100,100,0.95,0.1
4173,0.65,0,"(64, 12)","(64, 12)",100,100,0.95,0.1
4172,0.65,0,"(64, 10)","(64, 10)",100,100,0.95,0.1
4171,0.65,0,"(64, 8)","(64, 8)",100,100,0.95,0.1
4170,0.65,0,"(64, 7)","(64, 7)",100,100,0.95,0.1
4169,0.65,0,"(64, 6)","(64, 6)",100,100,0.95,0.1
4168,0.65,0,"(64, 5)","(64, 5)",100,100,0.95,0.1
4167,0.65,0,"(64, 2)","(64, 2)",100,100,0.95,0.1
4166,0.65,0,"(63, 98)","(63, 98)",100,100,0.95,0.1
4165,0.65,0,"(63, 97)","(63, 97)",100,100,0.95,0.1
4164,0.65,0,"(63, 96)","(63, 96)",100,100,0.95,0.1
4163,0.65,0,"(63, 95)","(63, 95)",100,100,0.95,0.1
4162,0.65,0,"(63, 93)","(63, 93)",100,100,0.95,0.1
4161,0.65,0,"(63, 90)","(63, 90)",100,100,0.95,0.1
4160,0.65,0,"(63, 89)","(63, 89)",100,100,0.95,0.1
4159,0.65,0,"(63, 87)","(63, 87)",100,100,0.95,0.1
4158,0.65,0,"(63, 86)","(63, 86)",100,100,0.95,0.1
4157,0.65,0,"(63, 85)","(63, 85)",100,100,0.95,0.1
4156,0.65,0,"(63, 84)","(63, 84)",100,100,0.95,0.1
4155,0.65,0,"(63, 82)","(63, 82)",100,100,0.95,0.1
4176,0.65,0,"(64, 19)","(64, 19)",100,100,0.95,0.1
4177,0.65,0,"(64, 20)","(64, 20)",100,100,0.95,0.1
4178,0.65,0,"(64, 21)","(64, 21)",100,100,0.95,0.1
4179,0.65,0,"(64, 25)","(64, 25)",100,100,0.95,0.1
4201,0.65,0,"(64, 60)","(64, 60)",100,100,0.95,0.1
4200,0.65,0,"(64, 59)","(64, 59)",100,100,0.95,0.1
4199,0.65,0,"(64, 57)","(64, 57)",100,100,0.95,0.1
4198,0.65,0,"(64, 55)","(64, 55)",100,100,0.95,0.1
