,density,Run,AgentId,Posição,height,width,air_humidity,wind_force
4116,0.65,0,"(63, 36)","(63, 36)",100,100,0.7,0.2
4115,0.65,0,"(63, 34)","(63, 34)",100,100,0.7,0.2
4114,0.65,0,"(63, 33)","(63, 33)",100,100,0.7,0.2
4113,0.65,0,"(63, 32)","(63, 32)",100,100,0.7,0.2
4112,0.65,0,"(63, 28)","(63, 28)",100,100,0.7,0.2
4111,0.65,0,"(63, 26)","(63, 26)",100,100,0.7,0.2
4110,0.65,0,"(63, 25)","(63, 25)",100,100,0.7,0.2
4109,0.65,0,"(63, 23)","(63, 23)",100,100,0.7,0.2
4108,0.65,0,"(63, 22)","(63, 22)",100,100,0.7,0.2
4107,0.65,0,"(63, 21)","(63, 21)",100,100,0.7,0.2
4106,0.65,0,"(63, 20)","(63, 20)",100,100,0.7,0.2
4105,0.65,0,"(63, 19)","(63, 19)",100,100,0.7,0.2
4104,0.65,0,"(63, 18)","(63, 18)",100,100,0.7,0.2
4103,0.65,0,"(63, 17)","(63, 17)",100,100,0.7,0.2
4102,0.65,0,"(63, 16)","(63, 16)",100,100,0.7,0.2
4101,0.65,0,"(63, 15)","(63, 15)",100,100,0.7,0.2
4100,0.65,0,"(63, 14)","(63, 14)",100,100,0.7,0.2
4121,0.65,0,"(63, 41)","(63, 41)",100,100,0.7,0.2
4099,0.65,0,"(63, 12)","(63, 12)",100,100,0.7,0.2
4122,0.65,0,"(63, 42)","(63, 42)",100,100,0.7,0.2
4124,0.65,0,"(63, 47)","(63, 47)",100,100,0.7,0.2
4145,0.65,0,"(63, 78)","(63, 78)",100,100,0.7,0.2
4144,0.65,0,"(63, 77)","(63, 77)",100,100,0.7,0.2
4143,0.65,0,"(63, 76)","(63, 76)",100,100,0.7,0.2
4142,0.65,0,"(63, 72)","(63, 72)",100,100,0.7,0.2
4141,0.65,0,"(63, 70)","(63, 70)",100,100,0.7,0.2
4140,0.65,0,"(63, 69)","(63, 69)",100,100,0.7,0.2
4139,0.65,0,"(63, 68)","(63, 68)",100,100,0.7,0.2
4138,0.65,0,"(63, 67)","(63, 67)",100,100,0.7,0.2
4137,0.65,0,"(63, 66)","(63, 66)",100,100,0.7,0.2
4136,0.65,0,"(63, 65)","(63, 65)",100,100,0.7,0.2
4135,0.65,0,"(63, 62)","(63, 62)",100,100,0.7,0.2
4134,0.65,0,"(63, 61)","(63, 61)",100,100,0.7,0.2
4133,0.65,0,"(63, 60)","(63, 60)",100,100,0.7,0.2
4132,0.65,0,"(63, 58)","(63, 58)",100,100,0.7,0.2
