,density,Run,AgentId,Posição,height,width,fireman
4056,0.65,0,"(62, 97)","(62, 97)",100,100,0.8
4055,0.65,0,"(62, 96)","(62, 96)",100,100,0.8
4054,0.65,0,"(62, 95)","(62, 95)",100,100,0.8
4053,0.65,0,"(62, 94)","(62, 94)",100,100,0.8
4052,0.65,0,"(62, 93)","(62, 93)",100,100,0.8
4051,0.65,0,"(62, 92)","(62, 92)",100,100,0.8
4050,0.65,0,"(62, 91)","(62, 91)",100,100,0.8
4049,0.65,0,"(62, 89)","(62, 89)",100,100,0.8
4048,0.65,0,"(62, 88)","(62, 88)",100,100,0.8
4047,0.65,0,"(62, 87)","(62, 87)",100,100,0.8
4046,0.65,0,"(62, 86)","(62, 86)",100,100,0.8
4067,0.65,0,"(63, 12)","(63, 12)",100,100,0.8
4068,0.65,0,"(63, 15)","(63, 15)",100,100,0.8
4069,0.65,0,"(63, 16)","(63, 16)",100,100,0.8
4070,0.65,0,"(63, 17)","(63, 17)",100,100,0.8
4092,0.65,0,"(63, 50)","(63, 50)",100,100,0.8
4091,0.65,0,"(63, 49)","(63, 49)",100,100,0.8
4090,0.65,0,"(63, 47)","(63, 47)",100,100,0.8
4089,0.65,0,"(63, 45)","(63, 45)",100,100,0.8
4088,0.65,0,"(63, 44)","(63, 44)",100,100,0.8
4087,0.65,0,"(63, 43)","(63, 43)",100,100,0.8
4086,0.65,0,"(63, 40)","(63, 40)",100,100,0.8
4085,0.65,0,"(63, 38)","(63, 38)",100,100,0.8
4084,0.65,0,"(63, 37)","(63, 37)",100,100,0.8
4083,0.65,0,"(63, 36)","(63, 36)",100,100,0.8
4143,0.65,0,"(64, 27)","(64, 27)",100,100,0.8
4082,0.65,0,"(63, 34)","(63, 34)",100,100,0.8
4080,0.65,0,"(63, 32)","(63, 32)",100,100,0.8
4079,0.65,0,"(63, 30)","(63, 30)",100,100,0.8
4078,0.65,0,"(63, 27)","(63, 27)",100,100,0.8
4077,0.65,0,"(63, 26)","(63, 26)",100,100,0.8
4076,0.65,0,"(63, 25)","(63, 25)",100,100,0.8
4075,0.65,0,"(63, 24)","(63, 24)",100,100,0.8
4074,0.65,0,"(63, 23)","(63, 23)",100,100,0.8
4073,0.65,0,"(63, 22)","(63, 22)",100,100,0.8
4072,0.65,0,"(63, 20)","(63, 20)",100,100,0.8
4071,0.65,0,"(63, 19)","(63, 19)",100,100,0.8
4081,0.65,0,"(63, 33)","(63, 33)",100,100,0.8
4245,0.65,0,"(65, 79)","(65, 79)",100,100,0.8
4144,0.65,0,"(64, 29)","(64, 29)",100,100,0.8
4146,0.65,0,"(64, 31)","(64, 31)",100,100,0.8
4218,0.65,0,"(65, 37)","(65, 37)",100,100,0.8
4217,0.65,0,"(65, 36)","(65, 36)",100,100,0.8
4216,0.65,0,"(65, 35)","(65, 35)",100,100,0.8
4215,0.65,0,"(65, 34)","(65, 34)",100,100,0.8
4214,0.65,0,"(65, 33)","(65, 33)",100,100,0.8
4213,0.65,0,"(65, 31)","(65, 31)",100,100,0.8
4212,0.65,0,"(65, 29)","(65, 29)",100,100,0.8
4211,0.65,0,"(65, 27)","(65, 27)",100,100,0.8
4210,0.65,0,"(65, 26)","(65, 26)",100,100,0.8
4209,0.65,0,"(65, 25)","(65, 25)",100,100,0.8
4208,0.65,0,"(65, 22)","(65, 22)",100,100,0.8
4207,0.65,0,"(65, 20)","(65, 20)",100,100,0.8
4206,0.65,0,"(65, 18)","(65, 18)",100,100,0.8
4205,0.65,0,"(65, 16)","(65, 16)",100,100,0.8
4204,0.65,0,"(65, 14)","(65, 14)",100,100,0.8
4203,0.65,0,"(65, 13)","(65, 13)",100,100,0.8
4202,0.65,0,"(65, 12)","(65, 12)",100,100,0.8
4201,0.65,0,"(65, 11)","(65, 11)",100,100,0.8
4200,0.65,0,"(65, 10)","(65, 10)",100,100,0.8
4199,0.65,0,"(65, 8)","(65, 8)",100,100,0.8
4198,0.65,0,"(65, 7)","(65, 7)",100,100,0.8
4219,0.65,0,"(65, 40)","(65, 40)",100,100,0.8
4197,0.65,0,"(65, 6)","(65, 6)",100,100,0.8
4220,0.65,0,"(65, 42)","(65, 42)",100,100,0.8
4222,0.65,0,"(65, 47)","(65, 47)",100,100,0.8
4243,0.65,0,"(65, 76)","(65, 76)",100,100,0.8
4242,0.65,0,"(65, 75)","(65, 75)",100,100,0.8
4241,0.65,0,"(65, 74)","(65, 74)",100,100,0.8
4240,0.65,0,"(65, 72)","(65, 72)",100,100,0.8
4239,0.65,0,"(65, 71)","(65, 71)",100,100,0.8
4238,0.65,0,"(65, 69)","(65, 69)",100,100,0.8
4237,0.65,0,"(65, 68)","(65, 68)",100,100,0.8
4236,0.65,0,"(65, 67)","(65, 67)",100,100,0.8
4235,0.65,0,"(65, 66)","(65, 66)",100,100,0.8
4234,0.65,0,"(65, 64)","(65, 64)",100,100,0.8
4233,0.65,0,"(65, 63)","(65, 63)",100,100,0.8
4232,0.65,0,"(65, 62)","(65, 62)",100,100,0.8
4231,0.65,0,"(65, 61)","(65, 61)",100,100,0.8
4230,0.65,0,"(65, 60)","(65, 60)",100,100,0.8
4229,0.65,0,"(65, 59)","(65, 59)",100,100,0.8
4228,0.65,0,"(65, 57)","(65, 57)",100,100,0.8
4227,0.65,0,"(65, 56)","(65, 56)",100,100,0.8
4226,0.65,0,"(65, 53)","(65, 53)",100,100,0.8
4225,0.65,0,"(65, 50)","(65, 50)",100,100,0.8
4224,0.65,0,"(65, 49)","(65, 49)",100,100,0.8
4223,0.65,0,"(65, 48)","(65, 48)",100,100,0.8
4221,0.65,0,"(65, 46)","(65, 46)",100,100,0.8
4196,0.65,0,"(65, 5)","(65, 5)",100,100,0.8
4195,0.65,0,"(65, 4)","(65, 4)",100,100,0.8
4194,0.65,0,"(65, 2)","(65, 2)",100,100,0.8
4167,0.65,0,"(64, 67)","(64, 67)",100,100,0.8
4166,0.65,0,"(64, 66)","(64, 66)",100,100,0.8
4165,0.65,0,"(64, 61)","(64, 61)",100,100,0.8
4164,0.65,0,"(64, 60)","(64, 60)",100,100,0.8
4163,0.65,0,"(64, 59)","(64, 59)",100,100,0.8
4162,0.65,0,"(64, 56)","(64, 56)",100,100,0.8
4161,0.65,0,"(64, 54)","(64, 54)",100,100,0.8
4160,0.65,0,"(64, 53)","(64, 53)",100,100,0.8
4159,0.65,0,"(64, 52)","(64, 52)",100,100,0.8
4158,0.65,0,"(64, 51)","(64, 51)",100,100,0.8
4157,0.65,0,"(64, 49)","(64, 49)",100,100,0.8
4156,0.65,0,"(64, 47)","(64, 47)",100,100,0.8
4155,0.65,0,"(64, 45)","(64, 45)",100,100,0.8
4154,0.65,0,"(64, 44)","(64, 44)",100,100,0.8
4153,0.65,0,"(64, 42)","(64, 42)",100,100,0.8
4152,0.65,0,"(64, 40)","(64, 40)",100,100,0.8
4151,0.65,0,"(64, 38)","(64, 38)",100,100,0.8
4150,0.65,0,"(64, 37)","(64, 37)",100,100,0.8
4149,0.65,0,"(64, 36)","(64, 36)",100,100,0.8
4148,0.65,0,"(64, 34)","(64, 34)",100,100,0.8
4147,0.65,0,"(64, 32)","(64, 32)",100,100,0.8
4168,0.65,0,"(64, 68)","(64, 68)",100,100,0.8
4169,0.65,0,"(64, 69)","(64, 69)",100,100,0.8
4170,0.65,0,"(64, 72)","(64, 72)",100,100,0.8
4171,0.65,0,"(64, 73)","(64, 73)",100,100,0.8
4193,0.65,0,"(65, 1)","(65, 1)",100,100,0.8
4192,0.65,0,"(65, 0)","(65, 0)",100,100,0.8
4191,0.65,0,"(64, 99)","(64, 99)",100,100,0.8
4190,0.65,0,"(64, 98)","(64, 98)",100,100,0.8
4189,0.65,0,"(64, 96)","(64, 96)",100,100,0.8
4188,0.65,0,"(64, 95)","(64, 95)",100,100,0.8
4187,0.65,0,"(64, 94)","(64, 94)",100,100,0.8
4186,0.65,0,"(64, 93)","(64, 93)",100,100,0.8
4185,0.65,0,"(64, 91)","(64, 91)",100,100,0.8
4184,0.65,0,"(64, 90)","(64, 90)",100,100,0.8
4145,0.65,0,"(64, 30)","(64, 30)",100,100,0.8
4183,0.65,0,"(64, 89)","(64, 89)",100,100,0.8
4181,0.65,0,"(64, 87)","(64, 87)",100,100,0.8
4180,0.65,0,"(64, 85)","(64, 85)",100,100,0.8
4179,0.65,0,"(64, 83)","(64, 83)",100,100,0.8
4178,0.65,0,"(64, 82)","(64, 82)",100,100,0.8
4177,0.65,0,"(64, 81)","(64, 81)",100,100,0.8
4176,0.65,0,"(64, 80)","(64, 80)",100,100,0.8
4175,0.65,0,"(64, 79)","(64, 79)",100,100,0.8
4174,0.65,0,"(64, 78)","(64, 78)",100,100,0.8
